Ostrava,U petrolejky,Ostrava-město,Moravskoslezský
Ostrava,Hlavní nádraží,Ostrava-město,Moravskoslezský
Ostrava,Rybníky,Ostrava-město,Moravskoslezský
Ostrava,Přívoz-sever,Ostrava-město,Moravskoslezský
Ostrava,Přívoz-střed,Ostrava-město,Moravskoslezský
Ostrava,Přívoz-východ,Ostrava-město,Moravskoslezský
Ostrava,Odval u Ostravice,Ostrava-město,Moravskoslezský
Ostrava,Na Františku,Ostrava-město,Moravskoslezský
Ostrava,Přívoz-Dolní pole,Ostrava-město,Moravskoslezský
Ostrava,Mariánské Hory-východ,Ostrava-město,Moravskoslezský
Ostrava,Pod cihelnou,Ostrava-město,Moravskoslezský
Ostrava,Švermova,Ostrava-město,Moravskoslezský
Ostrava,Mariánské Hory-střed,Ostrava-město,Moravskoslezský
Ostrava,Sídliště Vršovců,Ostrava-město,Moravskoslezský
Ostrava,Nový rybník,Ostrava-město,Moravskoslezský
Ostrava,U nádraží,Ostrava-město,Moravskoslezský
Ostrava,Nádraží Mariánské Hory,Ostrava-město,Moravskoslezský
Ostrava,Nad tratí,Ostrava-město,Moravskoslezský
Ostrava,Odvaly u Odry,Ostrava-město,Moravskoslezský
Ostrava,Nová Ves-sever,Ostrava-město,Moravskoslezský
Ostrava,Nová Ves-jih,Ostrava-město,Moravskoslezský
Ostrava,Přední rybník,Ostrava-město,Moravskoslezský
Ostrava,Bedřiška,Ostrava-město,Moravskoslezský
Ostrava,Železárenská,Ostrava-město,Moravskoslezský
Ostrava,Martinská,Ostrava-město,Moravskoslezský
Ostrava,Hornické učiliště II,Ostrava-město,Moravskoslezský
Ostrava,U plynojemu,Ostrava-město,Moravskoslezský
Ostrava,Vítkovice-střed,Ostrava-město,Moravskoslezský
Ostrava,Vítkovice-zámek,Ostrava-město,Moravskoslezský
Ostrava,Vítkovice-východ,Ostrava-město,Moravskoslezský
Ostrava,Jeremenkova osada,Ostrava-město,Moravskoslezský
Ostrava,Nádraží Vítkovice,Ostrava-město,Moravskoslezský
Ostrava,Lojzova,Ostrava-město,Moravskoslezský
Ostrava,Vítkovice-jih,Ostrava-město,Moravskoslezský
Ostrava,Vítkovice-stadión,Ostrava-město,Moravskoslezský
Ostrava,U nemocnice,Ostrava-město,Moravskoslezský
Ostrava,Nemocnice Zábřeh,Ostrava-město,Moravskoslezský
